Path,Classification,RtmCoverage,Notes
scripts/auditCustomizationGovernance.js,mapped,Yes,Customization governance audit script for AGENTS and customization drift prevention; mapped to VHS-REQ-615.
scripts/auditRequirementVerificationLinkage.js,mapped,Yes,Requirement verification-linkage report; advisory (exit 0); lists Active requirements whose verification-reference tests do not cite the requirement ID; mapped to VHS-REQ-601.
scripts/auditRequirementCriteriaInventory.js,mapped,Yes,Requirement acceptance-criteria inventory report; advisory (exit 0); assigns positional VHS-REQ-NNN.M ids and reports criterion-level citation; mapped to VHS-REQ-601.
scripts/verifyRequirementsHealth.js,mapped,Yes,Unified requirement verification-health report; advisory (exit 0); aggregates structural integrity linkage criterion citation coverage risk and mutation into one per-requirement signal; mapped to VHS-REQ-601.
scripts/exportRequirementsManifest.js,mapped,Yes,Versioned requirements manifest exporter; serializes active SRS/RTM requirements into out/requirements/requirements-manifest.json stamped with extension version commit and a stable content digest so the VSIX ships the requirements it was built from; mapped to VHS-REQ-601.
scripts/buildRiskLedger.js,mapped,Yes,Ranked risk-ledger aggregator; combines coverage requirement-health and optional standards signals into one advisory ledger with a single selectable next target and a parked platform-proof awareness list; mapped to VHS-REQ-601.
scripts/auditTraceabilitySteward.js,mapped,Yes,Traceability steward audit script; mapped through RTM.
scripts/checkRequirementsCsvColumns.js,mapped,Yes,Requirements CSV column-integrity guard; fails closed on any row whose column count differs from its header and prints the contract plus validated requirement IDs to the CI run summary; mapped to VHS-REQ-601.
scripts/checkRequirementsIntegrity.js,mapped,Yes,Requirements cross-reference integrity guard; fails closed on dangling id-index anchors non-Active RTM parents missing inventory paths unresolved replacement IDs SRS/RTM evidence-reference disagreement missing or unresolved system-requirement references and Active requirements without a verification reference; prints the contract to the CI run summary; mapped to VHS-REQ-601.
scripts/checkDocsLinks.js,mapped,Yes,Documentation link-check command with generated validation/evidence root exclusions; mapped to VHS-REQ-597.
scripts/checkDefinitionOfDone.js,mapped,Yes,Definition-of-Done gate checker; mapped to VHS-REQ-615.
scripts/auditBranchProtectionSettings.js,dev-only,No,Maintainer branch protection settings audit for canonical GitHub required status checks and protection flags; gh-only injected execution boundary.
scripts/checkDocumentationWorkbench.js,dev-only,No,Documentation workbench gate verifying the docs-authoring image documentation-workbench guide and docs:gate script surfaces exist and stay coherent; CI and dev documentation infrastructure.
scripts/fileLinuxValidationGap.js,dev-only,No,Maintainer Linux-validation gap auto-filer (issue #259) so the session not the human authors fix issues; gh-only allow-list and injected fs/spawn boundaries.
scripts/generateCloseoutEvidence.js,mapped,Yes,Closeout evidence automation with tracked-worktree standards audit snapshot mandatory standards runner published Docker workbench support standards toolchain provenance verification coverage-risk mapping and DoD evidence-source hygiene; mapped to VHS-REQ-601 VHS-REQ-613 and VHS-REQ-615.
scripts/generateAssuranceState.js,mapped,Yes,Local assurance-state evidence model generator that normalizes retained standards audit packets into classified planning signals with provenance; mapped to VHS-REQ-615.
scripts/buildSupplyChainState.js,mapped,Yes,"Read-only supply-chain state aggregator reporting the provenance state (digest, gating, freshness) of the box manifest, runtime-validation ledger, requirements manifest, and dev-tools toolset in one schema-versioned packet; mapped to VHS-REQ-668."
scripts/runMultiStandardsAudit.js,mapped,Yes,Local multi-standard audit helper for direct 29148/26514 checks and standards-review profile evidence; mapped to VHS-REQ-615.
scripts/runIssueStandardsTriage.js,dev-only,No,Local maintainer issue-triage helper that captures GitHub issue metadata and runs repo-standards-review quick-triage standards evidence against a Docker-visible tracked-worktree snapshot; advisory only.
scripts/mapCoverageToTraceability.js,mapped,Yes,Coverage traceability map command; mapped to VHS-REQ-613.
src/cli/runDevHost.ts,dev-only,No,Development host CLI for local debugging and testing.
src/commands/openViHistoryCommand.ts,mapped,Yes,Main command implementation; mapped through RTM.
src/commands/comparisonRuntimeDoctorSummaryParsing.ts,supporting,No,"Runtime-doctor-summary parsers (deriveComparisonRuntimeNextAction, deriveRuntimeProviderFromDoctorSummary, deriveRuntimeProviderRequestFromDoctorSummary, deriveWindowsContainerAcquisitionStateFromDoctorSummary, deriveRejectedProviderSummaryFromDoctorSummary, mapLegacyExecutionModeToProviderRequest) extracted verbatim from openViHistoryCommand and the public ones re-exported to preserve the public API while separating pure doctor-summary parsing from command orchestration; supporting VHS-REQ-620."
src/commands/openViHistoryCommandMessages.ts,supporting,No,"User-facing command message helpers (formatUntrustedWorkspaceWarning, buildHistoryLoadFailureMessage, isInstalledProgramFilesLvIconPath, isGitRepositoryResolutionFailure, buildIneligibilityMessage) extracted verbatim from openViHistoryCommand and the public predicates re-exported to preserve the public API while separating pure message decisions from command orchestration; supporting VHS-REQ-620."
src/commands/comparisonRuntimeStatusPrimitives.ts,supporting,No,"Comparison-runtime status/selection primitives (deriveComparisonRuntimePanelStatus, isComparisonRuntimeBlocked, deriveComparisonRuntimeProgressStatus, deriveComparisonCommandLabel, resolveExplicitComparisonPair, stripTerminalPunctuation) extracted verbatim from openViHistoryCommand and the public ones re-exported to preserve the public API while separating pure status/selection logic from command orchestration; supporting VHS-REQ-620."
src/dashboard/comparisonReportArchive.ts,mapped,Yes,Dashboard archive support; mapped to VHS-REQ-610.
src/dashboard/dashboardEtaAccuracy.ts,mapped,Yes,Dashboard ETA accuracy; mapped to VHS-REQ-610.
src/dashboard/dashboardLatestRun.ts,mapped,Yes,Dashboard latest run support; mapped to VHS-REQ-610.
src/dashboard/multiReportDashboard.ts,mapped,Yes,Multi-report dashboard; mapped to VHS-REQ-610.
src/dashboard/multiReportDashboardPreparationSummary.ts,supporting,No,"Dashboard duration + preparation-summary formatting helpers (formatDurationMinutesSeconds, formatSignedDurationMinutesSeconds, renderPreparationSummary) extracted verbatim from multiReportDashboard to separate pure formatting/summary text from dashboard orchestration; supporting VHS-REQ-610."
src/dashboard/multiReportDashboardPairLedger.ts,supporting,No,"Dashboard pair-metadata ledger rendering (renderPairMetadataLedgerRow + formatOverviewCaptionLedger/formatAttributeLedger/formatDetailHeadingLedger/formatDetailItemLedger) extracted verbatim from multiReportDashboard to separate pure ledger-row HTML/formatting from dashboard orchestration; supporting VHS-REQ-610."
src/dashboard/multiReportDashboardOverviewImages.ts,supporting,No,"Dashboard overview image grouping (groupOverviewImageAssets, deriveOverviewCaptionPriority) extracted verbatim from multiReportDashboard to separate pure caption-priority grouping/sorting from dashboard orchestration; supporting VHS-REQ-610."
src/dashboard/multiReportDashboardPairOrdinals.ts,supporting,No,"Dashboard pair-ordinal helpers (mapPairIdsToOrdinals, formatPairOrdinalSummary) extracted verbatim from multiReportDashboard to separate pure pair-position resolution/formatting from dashboard orchestration; supporting VHS-REQ-610."
src/dashboard/multiReportDashboardDataUriImage.ts,supporting,No,"Dashboard data-URI image decoding (decodeDataUriImage + DecodedDataUriImage) extracted verbatim from multiReportDashboard to separate pure base64 image decoding/content-hashing from dashboard orchestration; supporting VHS-REQ-640."
src/dashboard/multiReportDashboardArtifactPlan.ts,supporting,No,"Dashboard artifact-plan builder (buildMultiReportDashboardArtifactPlan + DASHBOARDS_DIRECTORY) extracted verbatim from multiReportDashboard to separate pure deterministic path/id planning from dashboard orchestration; supporting VHS-REQ-610."
src/dashboard/multiReportDashboardSourceRecord.ts,supporting,No,"Dashboard archived-source-record helpers (buildArtifactLinks, buildProviderLabel, derivePairEvidenceState, deriveCommitPairs) extracted verbatim from multiReportDashboard to separate pure archived-record link/label/evidence/pairing logic from dashboard orchestration; supporting VHS-REQ-610."
src/dashboard/multiReportDashboardSummary.ts,supporting,No,"Dashboard summary aggregation (buildDashboardSummary) extracted verbatim from multiReportDashboard to separate pure entry-to-summary aggregation (counts, provider/path/overview/attribute/detail/evidence summaries with pair ordinals) from dashboard orchestration; supporting VHS-REQ-610."
src/dashboard/multiReportDashboardAction.ts,mapped,Yes,Multi-report dashboard action; mapped to VHS-REQ-610.
src/dashboard/niComparisonReportParser.ts,mapped,Yes,NI comparison report parser; mapped to VHS-REQ-610.
src/dashboard/retainedDashboardEvidence.ts,mapped,Yes,Retained dashboard evidence; mapped to VHS-REQ-610.
src/dashboard/worktreeSnapshotIndex.ts,mapped,Yes,Working-tree snapshot retention index data model and garbage collection; mapped to VHS-REQ-641.
src/docs/bundledDocumentation.ts,mapped,Yes,Bundled documentation manifest/page loading and rendering behavior; mapped to VHS-REQ-611.
src/docs/bundledDocumentationAction.ts,mapped,Yes,Bundled documentation command/action routing behavior; mapped to VHS-REQ-611.
src/domain/viFile.ts,mapped,Yes,VI file domain; mapped through RTM.
src/domain/viMagic.ts,mapped,Yes,VI magic wrapper; mapped through RTM.
src/domain/viMagicCore.ts,mapped,Yes,VI magic core detection; mapped through RTM.
src/extension.ts,mapped,Yes,Extension entry point; mapped through RTM including VHS-REQ-651 command registration.
src/git/gitApi.ts,mapped,Yes,Git API wrapper enabling viHistoryService Git state resolution; mapped through RTM.
src/git/gitCli.ts,mapped,Yes,Git CLI wrapper; mapped through RTM.
src/reporting/comparisonReportAction.ts,mapped,Yes,Comparison report action; mapped through RTM.
src/reporting/comparisonBlockedReason.ts,supporting,No,"Pure comparison blocked-reason projection (deriveComparisonBlockedReason) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating the runtime/preflight blocked-reason selection from action orchestration; supporting VHS-REQ-624."
src/reporting/comparisonRevisionMetadata.ts,supporting,No,"Pure revision-metadata projection (toRevisionMetadata) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating commit-to-packet revision-metadata mapping from action orchestration; supporting VHS-REQ-643."
src/reporting/cancelledComparisonReportResult.ts,supporting,No,"Pure cancelled-outcome result builder (buildCancelledComparisonReportResult) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating cancelled-stage comparison-report result projection from action orchestration; supporting VHS-REQ-643."
src/reporting/retainedComparisonReportEvidenceResult.ts,supporting,No,"Pure retained-evidence result builder (buildRetainedComparisonReportEvidenceResult) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating retained-comparison-report-evidence result projection (runtime-selection, runtime-execution, and process-observation facts) from action orchestration; supporting VHS-REQ-643."
src/reporting/canArchiveComparisonReport.ts,supporting,No,"Pure archive-eligibility predicate (canArchiveComparisonReport) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating the working-tree snapshot-identity and artifact-plan completeness gate for content-addressed retention from action orchestration; supporting VHS-REQ-641."
src/reporting/windowsContainerAcquisitionResult.ts,supporting,No,"Pure Windows container acquisition-result applier (applyWindowsContainerAcquisitionResult) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating the fold of a container-image acquisition outcome (acquired vs container-image-acquisition-failed, with notes) back into the runtime selection from action orchestration; supporting VHS-REQ-643."
src/reporting/archivedComparisonReportSourceRecordReader.ts,supporting,No,"Pure archived comparison-report source-record reader/validator (readValidatedArchivedComparisonReportSourceRecord) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating the read/JSON-parse/structural-and-identity-validate/packet-existence gate for a retained source record from action orchestration; supporting VHS-REQ-641."
src/reporting/comparisonReportExecutionPlan.ts,mapped,Yes,Comparison execution plan; mapped through RTM.
src/reporting/comparisonReportExport.ts,mapped,Yes,Comparison report export to an accessible location for external browser viewing plus the source VI path threaded for report re-entry; mapped to VHS-REQ-626 and VHS-REQ-638.
